subject_name;competency_achievement;school_year;semester
Pendidikan Agama Islam dan Budi Pekerti;;2025/2026;2
Pendidikan Agama Hindu dan Budi Pekerti;;2025/2026;2
Pendidikan Agama Kristen dan Budi Pekerti;;2025/2026;2
Pendidikan Pancasila;;2025/2026;2
Bahasa Indonesia;;2025/2026;2
Pendidikan Jasmani, Olahraga, dan Kesehatan;;2025/2026;2
Sejarah;;2025/2026;2
Seni Budaya;;2025/2026;2
Koding dan Kecerdasan Artifisial;;2025/2026;2
Matematika (Umum);;2025/2026;2
Bahasa Inggris;;2025/2026;2
Informatika;;2025/2026;2
Projek IPAS;;2025/2026;2
Dasar-dasar Teknik Komputer dan Jaringan;;2025/2026;2
Dasar-dasar Teknik Pemesinan;;2025/2026;2
Dasar-dasar Teknik Sepeda Motor;;2025/2026;2
Dasar-dasar Teknik Otomasi Industri;;2025/2026;2
Konsentrasi Keahlian Teknik Komputer dan Jaringan;;2025/2026;4
Konsentrasi Keahlian Teknik Pemesinan;;2025/2026;4
Konsentrasi Keahlian Teknik Sepeda Motor;;2025/2026;4
Konsentrasi Keahlian Teknik Otomasi Industri;;2025/2026;4
Projek Kreatif dan Kewirausahaan;;2025/2026;4
Sistem Perancangan IoT;;2025/2026;4
Gambar Teknik Mesin;;2025/2026;4
Gambar Teknik Manufaktur;;2025/2026;4
Pemrograman Sistem Robot Manipulator;;2025/2026;4
